Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Parts
"Hydro Flask - Travel Coffee Mug 354 ml (12 oz) - Vacuum Insulated Stainless Steel Travel Mug with Handle and Press-In Lid - BPA-Free - Black
Material Stainless Steel
Colour Black
Brand Hydro Flask
Item weight 0.75 Pounds
Capacity 12 Fluid Ounces
Item dimensions L x W x H 8.8 x 12.8 x 11.6 centimetres
Enjoy optimum drinking temperature for hours: This Travel Mug's unique TempShield double-wall vacuum-insulation keeps your beverages cold or hot for hours
Solid and eco-friendly carry-on mug: All of our products are made with durable food-grade stainless steel to ensure pure taste and no flavour transfer. It's easy to clean and both the mug and its lid are dishwasher safe
BPA-Free mug with a press-in lid: The press-in lid (not leak-proof) features Honeycomb Insulation that keeps your beverages at the right temperature and an opening for easy sips. Thanks to the lid, you can carry and sip your drink without spraying it on
Enjoy an immersive drinking experience anywhere: This mug is designed for everyday use whether you are going to work or doing any kind of exercise. Its soft touch finish gives a cosy feel in your hands.
100 Percent Customer and product satisfaction warranty: We stand behind our products and have great faith in our products. Hydro Flask is committed to high standards of durable and robust materials. Hydro Flask guarantees this product with a limited lifetime warranty against manufacturer defects
Brand Hydro Flask
Model Number M12001
Colour Black
Product Dimensions 8.76 x 12.83 x 11.56 cm; 337.93 Grams
Capacity 12 Fluid Ounces
Material Stainless Steel
Item Weight 338 g
","Hydro Flask - Travel Coffee Mug 354 ml (12 oz) - Vacuum Insulated Stainless Steel Travel Mug with Handle and Press-In Lid - BPA-Free - Black
Enjoy optimum drinking temperature for hours: This Travel Mug's unique TempShield double-wall vacuum-insulation keeps your beverages cold or hot for hours
Solid and eco-friendly carry-on mug: All of our products are made with durable food-grade stainless steel to ensure pure taste and no flavour transfer. It's easy to clean and both the mug and its lid are dishwasher safe
BPA-Free mug with a press-in lid: The press-in lid (not leak-proof) features Honeycomb Insulation that keeps your beverages at the right temperature and an opening for easy sips. Thanks to the lid, you can carry and sip your drink without spraying it on
Enjoy an immersive drinking experience anywhere: This mug is designed for everyday use whether you are going to work or doing any kind of exercise. Its soft touch finish gives a cosy feel in your hands.
100 Percent Customer and product satisfaction warranty: We stand behind our products and have great faith in our products. Hydro Flask is committed to high standards of durable and robust materials. Hydro Flask guarantees this product with a limited lifetime warranty against manufacturer defects
","Material Stainless Steel
Colour Black
Brand Hydro Flask
Item weight 0.75 Pounds
Capacity 12 Fluid Ounces
Item dimensions L x W x H 8.8 x 12.8 x 11.6 centimetres
Brand Hydro Flask
Model Number M12001
Colour Black
Product Dimensions 8.76 x 12.83 x 11.56 cm; 337.93 Grams
Capacity 12 Fluid Ounces
Material Stainless Steel
Item Weight 338 g
",metal,black,338g,354ml;12oz,8.8,12.8,11.6,lid;handle
"VIROSA Mamacorn Mug, Like a Normal Mum, But More Awesome, Gift for Mothers Day
Material Ceramic
Colour White
Brand VIROSA
Capacity 312 Grams
Item dimensions L x W x H 10 x 10 x 10 centimetres
🎁 [PERFECT GIFT FOR YOUR MUM]: Do you want to tell your mum how awesome she is but don’t know how to show it? Well no need to worry we’ve got you covered. Show your mum how great she is by gifting her this mug and make her feel special. Make her smile and order yours today.
🎁 [HIGH QUALITY] Printed on both sides, this high-quality ceramic mug is the ideal gift for someone special as the text looks bright and vivid.
🎁 [SAFE AND EFFECTIVE] These high quality, dishwasher and microwave safe mugs are made to last for years to come!
🎁 [MOTHER GIFTS FROM DAUGHTER] This is an 11oz mug with a large handle and easy grip. It’s suitable for both hot and cold drinks in the office or at home. The print on the mug won’t scratch, fade or peel for the life of the
🎁 [ANY OCCASION] This mug can be gifted for Mother’s day, Christmas, Valentine’s, Anniversary, Christmas, turning 40, 50, 60, 70, 80 years old birthday. Or just to show your appreciation and love for her.
Brand VIROSA
Model Number 1450416
Colour White
Product Dimensions 10 x 10 x 10 cm; 430 Grams
Capacity 312 Grams
Material Ceramic
Item Weight 430 g
","VIROSA Mamacorn Mug, Like a Normal Mum, But More Awesome, Gift for Mothers Day
🎁 [PERFECT GIFT FOR YOUR MUM]: Do you want to tell your mum how awesome she is but don’t know how to show it? Well no need to worry we’ve got you covered. Show your mum how great she is by gifting her this mug and make her feel special. Make her smile and order yours today.
🎁 [HIGH QUALITY] Printed on both sides, this high-quality ceramic mug is the ideal gift for someone special as the text looks bright and vivid.
🎁 [SAFE AND EFFECTIVE] These high quality, dishwasher and microwave safe mugs are made to last for years to come!
🎁 [MOTHER GIFTS FROM DAUGHTER] This is an 11oz mug with a large handle and easy grip. It’s suitable for both hot and cold drinks in the office or at home. The print on the mug won’t scratch, fade or peel for the life of the
🎁 [ANY OCCASION] This mug can be gifted for Mother’s day, Christmas, Valentine’s, Anniversary, Christmas, turning 40, 50, 60, 70, 80 years old birthday. Or just to show your appreciation and love for her.
","Material Ceramic
Colour White
Brand VIROSA
Capacity 312 Grams
Item dimensions L x W x H 10 x 10 x 10 centimetres
Brand VIROSA
Model Number 1450416
Colour White
Product Dimensions 10 x 10 x 10 cm; 430 Grams
Capacity 312 Grams
Material Ceramic
Item Weight 430 g
",ceramic,white,430g,312g,10,10,10,handle
"Neon Kactus 12oz/340ml | Hand Blown Borosilicate Glass Reusable Coffee Cup/Travel Mug | Food Grade Silicone Lid |Textured Thermal Sleeve |100% Plastic Free and Fully Recyclable - Super Sonic 12oz
Material Glass, Borosilicate Glass
Colour Super Sonic
Brand Neon Kactus
Capacity 12 Fluid Ounces
Theme Alphabets
Item dimensions L x W x H 9 x 9 x 13 centimetres
ECO FRIENDLY – Neon Kactus glass coffee cups are 100% plastic free and use only fully recyclable materials. Our uniquely designed thermal sleeve and splash proof lid are made from food grade silicone. Neon Kactus glass coffee cups are certified to be free from all harmful chemicals and toxins. Our cups Look Good & Do Good!
COFFEE SHOP DRINKING EXPERIENCE - Neon Kactus glass coffee cups are made by people NOT machines. Hand blown from high grade borosilicate glass, our cups are designed to replicate your coffee shop drinking experience. Unlike plastic or bamboo, Neon Kactus glass cups will not taint the flavour of your drink guaranteeing a crisp and pleasurable drinking experience
AT HOME, IN THE OFFICE OR ON THE GO – Our Barista Standard glass coffee cups are lightweight, durable and fit perfectly under all coffee machines. Designed with performance in mind, our thermal sleeve and splash proof lid protects your hands from hot liquids and prevents any unwanted spills, making your Neon Kactus the ideal daily companion
USE EVERY DAY – Neon Kactus glass coffee cups are easy to clean, stain/odour resistant and both dishwasher and microwave safe. Each Neon Kactus reusables saves 750 disposables from landfill - use your Neon Kactus everyday and join us on our journey to Create A Better Tomorrow!
PLANT YOUR TREE - In the pursuit of our mission we have partnered with Offset Earth to fully offset our carbon footprint and support a Climate Positive Workforce. For every Neon Kactus reusable purchased we plant a tree to help reforest our planet and Create A Better Tomorrow!
Brand Neon Kactus
Colour Super Sonic
Product Dimensions 9 x 9 x 13 cm; 340 Grams
Capacity 12 Fluid Ounces
Material Glass, Borosilicate Glass
Auto Shutoff No
Item Weight 340 g
","Neon Kactus 12oz/340ml | Hand Blown Borosilicate Glass Reusable Coffee Cup/Travel Mug | Food Grade Silicone Lid |Textured Thermal Sleeve |100% Plastic Free and Fully Recyclable - Super Sonic 12oz
ECO FRIENDLY – Neon Kactus glass coffee cups are 100% plastic free and use only fully recyclable materials. Our uniquely designed thermal sleeve and splash proof lid are made from food grade silicone. Neon Kactus glass coffee cups are certified to be free from all harmful chemicals and toxins. Our cups Look Good & Do Good!
COFFEE SHOP DRINKING EXPERIENCE - Neon Kactus glass coffee cups are made by people NOT machines. Hand blown from high grade borosilicate glass, our cups are designed to replicate your coffee shop drinking experience. Unlike plastic or bamboo, Neon Kactus glass cups will not taint the flavour of your drink guaranteeing a crisp and pleasurable drinking experience
AT HOME, IN THE OFFICE OR ON THE GO – Our Barista Standard glass coffee cups are lightweight, durable and fit perfectly under all coffee machines. Designed with performance in mind, our thermal sleeve and splash proof lid protects your hands from hot liquids and prevents any unwanted spills, making your Neon Kactus the ideal daily companion
USE EVERY DAY – Neon Kactus glass coffee cups are easy to clean, stain/odour resistant and both dishwasher and microwave safe. Each Neon Kactus reusables saves 750 disposables from landfill - use your Neon Kactus everyday and join us on our journey to Create A Better Tomorrow!
PLANT YOUR TREE - In the pursuit of our mission we have partnered with Offset Earth to fully offset our carbon footprint and support a Climate Positive Workforce. For every Neon Kactus reusable purchased we plant a tree to help reforest our planet and Create A Better Tomorrow!
","Material Glass, Borosilicate Glass
Colour Super Sonic
Brand Neon Kactus
Capacity 12 Fluid Ounces
Theme Alphabets
Item dimensions L x W x H 9 x 9 x 13 centimetres
Brand Neon Kactus
Colour Super Sonic
Product Dimensions 9 x 9 x 13 cm; 340 Grams
Capacity 12 Fluid Ounces
Material Glass, Borosilicate Glass
Auto Shutoff No
Item Weight 340 g
",glass,blue,340g,12oz,9,9,13,lid;cup
"Luka Tech Handmade Enamel Butterfly Flower Glass Coffee Mugs Tea Cup with Spoon,Best Birthday Christmas Gifts for Her Women Mum Friends Mothers Day(Red-Tall)
Material Enamel, Glass
Colour Red-tall
Brand Luka Tech
Item weight 2 Grams
Item dimensions L x W x H 15 x 10 x 10 centimetres
The handmade enamel glass mug has an elegant style with butterfly and red rose flower 3D designs. Never fade as time passed. Glass material of cup is glittering and translucent, classic but refined and the noble stylish look is functional yet decorative
The Flower Tea cup is made of high-quality Lead-Free eco-friendly sturdy glass material, is a healthier choice over plastic or acrylic material, contains no lead and barium harmful heavy metals, BPA-FREE, no toxicity, odor free, safe to use and easy to clean.
Best Gift and Surprise for mother, grandma, teachers, tea lovers, sister, daughter, colleagues. It is a special gift idea for the Christmas, wedding graduation, Valentine's Day, business gift, tea party. Amazing Valentine's Day gift for women or men.
Flower glass tea cup can be used for your favorite hot tea, morning coffee, hot beverages, hot chocolate, milk, juice or some other daily use .The visual appeal makes this an exciting product for any home, restaurant, and office .It is great fun and good mood to you
Pack Include: 1 * Glass Mugs , 1 * Spoon, 1 * an anti-slid pad , 1 * Cleaning Cloth! 100% money back warranty:we will refund full money to you if there any problem with products
Product Dimensions 15 x 10 x 10 cm; 2 Grams
Batteries required No
Item weight 2 Grams
","Luka Tech Handmade Enamel Butterfly Flower Glass Coffee Mugs Tea Cup with Spoon,Best Birthday Christmas Gifts for Her Women Mum Friends Mothers Day(Red-Tall)
The handmade enamel glass mug has an elegant style with butterfly and red rose flower 3D designs. Never fade as time passed. Glass material of cup is glittering and translucent, classic but refined and the noble stylish look is functional yet decorative
The Flower Tea cup is made of high-quality Lead-Free eco-friendly sturdy glass material, is a healthier choice over plastic or acrylic material, contains no lead and barium harmful heavy metals, BPA-FREE, no toxicity, odor free, safe to use and easy to clean.
Best Gift and Surprise for mother, grandma, teachers, tea lovers, sister, daughter, colleagues. It is a special gift idea for the Christmas, wedding graduation, Valentine's Day, business gift, tea party. Amazing Valentine's Day gift for women or men.
Flower glass tea cup can be used for your favorite hot tea, morning coffee, hot beverages, hot chocolate, milk, juice or some other daily use .The visual appeal makes this an exciting product for any home, restaurant, and office .It is great fun and good mood to you
Pack Include: 1 * Glass Mugs , 1 * Spoon, 1 * an anti-slid pad , 1 * Cleaning Cloth! 100% money back warranty:we will refund full money to you if there any problem with products
","Material Enamel, Glass
Colour Red-tall
Brand Luka Tech
Item weight 2 Grams
Item dimensions L x W x H 15 x 10 x 10 centimetres
Product Dimensions 15 x 10 x 10 cm; 2 Grams
Batteries required No
Item weight 2 Grams
",glass,red,2g,other,15,10,10,cup
"Le Creuset Stoneware Mug, 350 ml, Satin Black, 70302350000002
Material Stoneware
Colour Satin Black
Brand LE CREUSET
Capacity 350 Millilitres
Theme Alphabets
Item dimensions L x W x H 9.1 x 12.3 x 9.3 centimetres
Enamelled stoneware mug, 350ml, Ideal for coffee and tea
Fits most coffee machines, Available in a range of colours, Iconic Le Creuset branding
Strong stoneware, Durable chip-resistant enamel, Lasting heat retention, Withstands temperatures up to 260°C, 10-year guarantee
Easy to use and clean: Comfortable size and weight, Microwave, oven and freezer safe, Easy to handwash smooth enamel, Dishwasher safe
Contents: 1 x Le Creuset Stoneware Mug 350ml, 1 x Care and Use Booklet, Material: Stoneware, Dimensions: 9.1 x 12.3 x 9.3 cm, Weight: 331g, Colour: Satin Black, 70302350000002
Brand LE CREUSET
Model Number 70302350000002
Colour Satin Black
Product Dimensions 9.1 x 12.3 x 9.35 cm; 410 Grams
Capacity 350 Millilitres
Material Stoneware
Item Weight 410 g
","Le Creuset Stoneware Mug, 350 ml, Satin Black, 70302350000002
Enamelled stoneware mug, 350ml, Ideal for coffee and tea
Fits most coffee machines, Available in a range of colours, Iconic Le Creuset branding
Strong stoneware, Durable chip-resistant enamel, Lasting heat retention, Withstands temperatures up to 260°C, 10-year guarantee
Easy to use and clean: Comfortable size and weight, Microwave, oven and freezer safe, Easy to handwash smooth enamel, Dishwasher safe
Contents: 1 x Le Creuset Stoneware Mug 350ml, 1 x Care and Use Booklet, Material: Stoneware, Dimensions: 9.1 x 12.3 x 9.3 cm, Weight: 331g, Colour: Satin Black, 70302350000002
","Material Stoneware
Colour Satin Black
Brand LE CREUSET
Capacity 350 Millilitres
Theme Alphabets
Item dimensions L x W x H 9.1 x 12.3 x 9.3 centimetres
Brand LE CREUSET
Model Number 70302350000002
Colour Satin Black
Product Dimensions 9.1 x 12.3 x 9.35 cm; 410 Grams
Capacity 350 Millilitres
Material Stoneware
Item Weight 410 g
",other,black,410g,350ml,9.1,12.3,9.3,other
"Maxwell & Williams DI0215 Pete Cromer Coffee Cup / Tea Mug with 'Azure Kingfisher' Design, Porcelain, Turquoise, 375 ml
Material Porcelain
Colour Kingfisher
Brand Maxwell & Williams
Item weight 0.35 Kilograms
Capacity 375 Millilitres
Item dimensions L x W x H 12.5 x 9 x 9 centimetres
INTRODUCING PETE CROMER: this charming porcelain mug features Australian illustrator, Pete Cromer's original 'Azure Kingfisher' artwork
BRIGHT & PLAYFUL: its bold, block blue colour is complemented by Pete's signature collage-style artwork, of a kingfisher bird
BEAUTIFUL PORCELAIN: this coffee mug is made of luxurious white porcelain - for a gorgeous look and robust, long-lasting quality
PETE CROMER BY MAXWELL & WILLIAMS: this collection of mugs brings together playful original artworks and bright blocks of colour
MODERN MUG DESIGN: the 'Azure Kingfisher' tea mug / coffee cup holds up to 375 ml (13 fl oz). Microwave and dishwasher safe
Brand Maxwell & Williams
Model Number DI0215
Colour Kingfisher
Product Dimensions 12.5 x 9 x 9 cm; 350 Grams
Capacity 375 Millilitres
Material Porcelain
Item Weight 350 g
","Maxwell & Williams DI0215 Pete Cromer Coffee Cup / Tea Mug with 'Azure Kingfisher' Design, Porcelain, Turquoise, 375 ml
INTRODUCING PETE CROMER: this charming porcelain mug features Australian illustrator, Pete Cromer's original 'Azure Kingfisher' artwork
BRIGHT & PLAYFUL: its bold, block blue colour is complemented by Pete's signature collage-style artwork, of a kingfisher bird
BEAUTIFUL PORCELAIN: this coffee mug is made of luxurious white porcelain - for a gorgeous look and robust, long-lasting quality
PETE CROMER BY MAXWELL & WILLIAMS: this collection of mugs brings together playful original artworks and bright blocks of colour
MODERN MUG DESIGN: the 'Azure Kingfisher' tea mug / coffee cup holds up to 375 ml (13 fl oz). Microwave and dishwasher safe
","Material Porcelain
Colour Kingfisher
Brand Maxwell & Williams
Item weight 0.35 Kilograms
Capacity 375 Millilitres
Item dimensions L x W x H 12.5 x 9 x 9 centimetres
Brand Maxwell & Williams
Model Number DI0215
Colour Kingfisher
Product Dimensions 12.5 x 9 x 9 cm; 350 Grams
Capacity 375 Millilitres
Material Porcelain
Item Weight 350 g
",other,other,350g,375ml;13oz,12.5,9,9,cup
"GrassVillage Busier Than A Cucumber in a Woman's Prison Mug, Cup, White, Funny, Sarcasm Mug Fathers Day Xmas 11oz
Material Ceramic
Colour White
Brand GrassVillage
Capacity 312 Grams
Item dimensions L x W x H 9 x 9 x 9 centimetres
Perfect Gift for Anyone! Funny, Inspirational, Sarcasm Mug
Printed on both Sides. High quality ceramic mug.
Packaged in a Smash proof Mug box to ensure safe delivery.
Will never fade (Dishwasher Friendly)
Great gift for any occasion such as Christmas, Birthdays, New Year etc
Brand GrassVillage
Model Number GVM136
Colour White
Product Dimensions 9 x 9 x 9 cm; 380 Grams
Capacity 312 Grams
Material Ceramic
Auto Shutoff No
Item Weight 380 g
","GrassVillage Busier Than A Cucumber in a Woman's Prison Mug, Cup, White, Funny, Sarcasm Mug Fathers Day Xmas 11oz
Perfect Gift for Anyone! Funny, Inspirational, Sarcasm Mug
Printed on both Sides. High quality ceramic mug.
Packaged in a Smash proof Mug box to ensure safe delivery.
Will never fade (Dishwasher Friendly)
Great gift for any occasion such as Christmas, Birthdays, New Year etc
","Material Ceramic
Colour White
Brand GrassVillage
Capacity 312 Grams
Item dimensions L x W x H 9 x 9 x 9 centimetres
Brand GrassVillage
Model Number GVM136
Colour White
Product Dimensions 9 x 9 x 9 cm; 380 Grams
Capacity 312 Grams
Material Ceramic
Auto Shutoff No
Item Weight 380 g
",ceramic,white,380g,312g;11oz,9,9,9,cup
"'Reasons You Should Consider Being a cat' Funny Series Coffee Mug-11oz, Ceramic, White, 9 x 9 x 9 cm
Material Ceramic
Colour White
Brand Generic
Item weight 0.33 Kilograms
Capacity 312 Millilitres
Item dimensions L x W x H 9 x 9 x 9 centimetres
Diameter 9 Centimetres
High Quality Ceramic Coffee Mug
High Resolution and Detailed Print
312ml (11oz) Capacilty
Dishwasher & Microwave safe
Ideal Gift for Any Occasion
Brand Generic
Colour White
Product Dimensions 9 x 9 x 9 cm; 330 Grams
Diameter 9 Centimetres
Capacity 312 Millilitres
Material Ceramic
Item Weight 330 g
","'Reasons You Should Consider Being a cat' Funny Series Coffee Mug-11oz, Ceramic, White, 9 x 9 x 9 cm
High Quality Ceramic Coffee Mug
High Resolution and Detailed Print
312ml (11oz) Capacilty
Dishwasher & Microwave safe
Ideal Gift for Any Occasion
","Material Ceramic
Colour White
Brand Generic
Item weight 0.33 Kilograms
Capacity 312 Millilitres
Item dimensions L x W x H 9 x 9 x 9 centimetres
Diameter 9 Centimetres
Brand Generic
Colour White
Product Dimensions 9 x 9 x 9 cm; 330 Grams
Diameter 9 Centimetres
Capacity 312 Millilitres
Material Ceramic
Item Weight 330 g
",ceramic,white,330g,11oz,9,9,9,other
"20 OZ Large Coffee Mug, Smilatte M016 Plain Ceramic Boss Big Tea Cup with Handle for Dad Men, Red
Material Ceramic
Colour Red
Brand Smilatte
Capacity 567 Grams
Item dimensions L x W x H 10.3 x 6 x 12.3 centimetres
20 Ounces / Coffee mug size: 4.1"" Wide x 4.8"" Tall, About 1.4 pounds.
Extra large capacity mug, you will make your drinking experience a completely satisfying one - anytime, anywhere!
Made of FDA-approved, AB-grade ceramic. Safe for the dishwasher, microwave, oven and freezer! Sturdy and durable, these mug sets can easily handle daily use in your kitchen.
Perfect for coffee, tea, cocoa and cereal. you can just give it away as presents, make personalized gifts by filling them with candy, pens etc, for DIY projects, for decorating purposes.
We are committed to providing high-quality and well-packaged porcelain products. Smilatte promise to offer replacements for products damaged by non-human factors within 30 days of purchase.
Brand Smilatte
Model Number M007-STR20-4PC
Colour Red
Product Dimensions 10.3 x 6 x 12.3 cm; 670 Grams
Capacity 567 Grams
Material Ceramic
Item Weight 670 g
","20 OZ Large Coffee Mug, Smilatte M016 Plain Ceramic Boss Big Tea Cup with Handle for Dad Men, Red
20 Ounces / Coffee mug size: 4.1"" Wide x 4.8"" Tall, About 1.4 pounds.
Extra large capacity mug, you will make your drinking experience a completely satisfying one - anytime, anywhere!
Made of FDA-approved, AB-grade ceramic. Safe for the dishwasher, microwave, oven and freezer! Sturdy and durable, these mug sets can easily handle daily use in your kitchen.
Perfect for coffee, tea, cocoa and cereal. you can just give it away as presents, make personalized gifts by filling them with candy, pens etc, for DIY projects, for decorating purposes.
We are committed to providing high-quality and well-packaged porcelain products. Smilatte promise to offer replacements for products damaged by non-human factors within 30 days of purchase.
","Material Ceramic
Colour Red
Brand Smilatte
Capacity 567 Grams
Item dimensions L x W x H 10.3 x 6 x 12.3 centimetres
Brand Smilatte
Model Number M007-STR20-4PC
Colour Red
Product Dimensions 10.3 x 6 x 12.3 cm; 670 Grams
Capacity 567 Grams
Material Ceramic
Item Weight 670 g
",ceramic,red,670g,567g;20oz,10.3,6,12.3,handle;cup
"Le Creuset Stoneware Mug, 350 ml, Coastal Blue, 70302354200002
Material Stoneware
Colour Coastal Blue
Brand LE CREUSET
Capacity 350 Millilitres
Theme Alphabets
Item dimensions L x W x H 9.1 x 12.3 x 9.3 centimetres
Enamelled stoneware mug, 350ml, Ideal for coffee and tea
Fits most coffee machines, Available in a range of colours, Iconic Le Creuset branding
Strong stoneware, Durable chip-resistant enamel, Lasting heat retention, Withstands temperatures up to 260°C, 10-year guarantee
Easy to use and clean: Comfortable size and weight, Microwave, oven and freezer safe, Easy to handwash smooth enamel, Dishwasher safe
Contents: 1 x Le Creuset Stoneware Mug 350ml, 1 x Care and Use Booklet, Material: Stoneware, Dimensions: 9.1 x 12.3 x 9.3 cm, Weight: 331g, Colour: Coastal Blue, 70302354200002
Brand LE CREUSET
Model Number 70302354200002
Colour Coastal Blue
Product Dimensions 9.1 x 12.3 x 9.35 cm; 490 Grams
Capacity 350 Millilitres
Material Stoneware
Item Weight 490 g
","Le Creuset Stoneware Mug, 350 ml, Coastal Blue, 70302354200002
Enamelled stoneware mug, 350ml, Ideal for coffee and tea
Fits most coffee machines, Available in a range of colours, Iconic Le Creuset branding
Strong stoneware, Durable chip-resistant enamel, Lasting heat retention, Withstands temperatures up to 260°C, 10-year guarantee
Easy to use and clean: Comfortable size and weight, Microwave, oven and freezer safe, Easy to handwash smooth enamel, Dishwasher safe
Contents: 1 x Le Creuset Stoneware Mug 350ml, 1 x Care and Use Booklet, Material: Stoneware, Dimensions: 9.1 x 12.3 x 9.3 cm, Weight: 331g, Colour: Coastal Blue, 70302354200002
","Material Stoneware
Colour Coastal Blue
Brand LE CREUSET
Capacity 350 Millilitres
Theme Alphabets
Item dimensions L x W x H 9.1 x 12.3 x 9.3 centimetres
Brand LE CREUSET
Model Number 70302354200002
Colour Coastal Blue
Product Dimensions 9.1 x 12.3 x 9.35 cm; 490 Grams
Capacity 350 Millilitres
Material Stoneware
Item Weight 490 g
",other,blue,490g,350ml,9.1,12.3,9.3,other
