Input,UnstructuredText,StructuredText,Material,Colour,Weight,Volume,Length,Width,Height,Parts
"Russell Hobbs 23910 Adventure Brushed Stainless Steel Electric Kettle, Open Handle, 3000 W, 1.7 Litre
Boils 1 cup in 45 seconds one cup is equal to 235ml of water
The perfect pour spout allows you to get a streaming flow of water straight into your cup. Say goodbye to splashes and spills on the kitchen worktop
Rapid boil internal marker for 1/2/3 cup volume
Matching 2 and 4 Slice toasters
Kettle
Brand Russell Hobbs
Model Number 23910
Colour Brushed
Product Dimensions 15.8 x 22.8 x 24 cm; 997.9 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Energy Efficiency Class A to G
Item Weight 998 g
","Russell Hobbs 23910 Adventure Brushed Stainless Steel Electric Kettle, Open Handle, 3000 W, 1.7 Litre
Boils 1 cup in 45 seconds one cup is equal to 235ml of water
The perfect pour spout allows you to get a streaming flow of water straight into your cup. Say goodbye to splashes and spills on the kitchen worktop
Rapid boil internal marker for 1/2/3 cup volume
Matching 2 and 4 Slice toasters
Kettle
","Brand Russell Hobbs
Model Number 23910
Colour Brushed
Product Dimensions 15.8 x 22.8 x 24 cm; 997.9 Grams
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Energy Efficiency Class A to G
Item Weight 998 g
",metal,other,998g,1.7L,15.8,22.8,24,handle;cup;brush
"Hommak Electric Kettle, 1.7L Glass Quiet Electric Tea Kettle 2200W Fast Boil, Eco kettle (BPA Free)with Blue LED light, Auto Shut-Off and Boil-Dry Protection, Stainless Steel Inner Lid & Bottom, Grey
100% Healthy Material: Hommak glass electric kettle is made of borosilicate glass and 304 stainless steel. All parts touching water are food-grade material that is heat-resistant.No horrible plastic taste, so you can enjoy delicious coffee and tea with peace of mind.
Fast Boiling & Low Noise: The eco kettle utilizes advanced heating technology and a 2200W concealed heating element to ensure quiet efficient heating. Only 1.5 mins for 3 cups(600ml) and 4.5mins for a full pot of 6-8 cups (1.7L), thus saving up to 55% energy. Anytime just feel free to enjoy a brew with your friends and family.
Humanized Design & Easy to Clean: The blue LED illumination provides a visual light. The convenient easy-to-read liter markings allow precise measuring. The design of a wide mouth means you can easily put your hand into the kettle electric to clean. To descale your kettle, simply fill it with some vinegar and water, boil it, and let it soak for 1 hour.
Safe & Sturdy Kettle: Hommak Water kettle comes with an auto shut-off and boil-dry protection function. The top of the lid is reinforced with a metal ring and a silicone rubber sealing ring to make the lid sturdy and prevent steam leakage. The handy 360° base means it can be comfortably used whether you are right-handed or & left-handed.
Reliable Service: Hommak is confident that our kettles are manufactured under strict quality standards to give our customers the best experience. The service team is ready to solve your problems anytime. If you have any doubts, don't hesitate to let us know.
Brand Hommak
Model Number CP189A
Colour Grey
Product Dimensions 18.5 x 23 x 30 cm; 1.2 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Borosilicate Glass
Auto Shutoff Yes
Noise Level 50 dB
Special Features 1. Glass design, visible boiling. 2. BPA-free, 100% No plastic.  3. Overheating & boil-dry protection tec.   4. Stay-cool ergonomic handle.  5. Fast boiling: 0.5L for just 2mins.
Item Weight 1.2 kg
","Hommak Electric Kettle, 1.7L Glass Quiet Electric Tea Kettle 2200W Fast Boil, Eco kettle (BPA Free)with Blue LED light, Auto Shut-Off and Boil-Dry Protection, Stainless Steel Inner Lid & Bottom, Grey
100% Healthy Material: Hommak glass electric kettle is made of borosilicate glass and 304 stainless steel. All parts touching water are food-grade material that is heat-resistant.No horrible plastic taste, so you can enjoy delicious coffee and tea with peace of mind.
Fast Boiling & Low Noise: The eco kettle utilizes advanced heating technology and a 2200W concealed heating element to ensure quiet efficient heating. Only 1.5 mins for 3 cups(600ml) and 4.5mins for a full pot of 6-8 cups (1.7L), thus saving up to 55% energy. Anytime just feel free to enjoy a brew with your friends and family.
Humanized Design & Easy to Clean: The blue LED illumination provides a visual light. The convenient easy-to-read liter markings allow precise measuring. The design of a wide mouth means you can easily put your hand into the kettle electric to clean. To descale your kettle, simply fill it with some vinegar and water, boil it, and let it soak for 1 hour.
Safe & Sturdy Kettle: Hommak Water kettle comes with an auto shut-off and boil-dry protection function. The top of the lid is reinforced with a metal ring and a silicone rubber sealing ring to make the lid sturdy and prevent steam leakage. The handy 360° base means it can be comfortably used whether you are right-handed or & left-handed.
Reliable Service: Hommak is confident that our kettles are manufactured under strict quality standards to give our customers the best experience. The service team is ready to solve your problems anytime. If you have any doubts, don't hesitate to let us know.
","Brand Hommak
Model Number CP189A
Colour Grey
Product Dimensions 18.5 x 23 x 30 cm; 1.2 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Borosilicate Glass
Auto Shutoff Yes
Noise Level 50 dB
Special Features 1. Glass design, visible boiling. 2. BPA-free, 100% No plastic.  3. Overheating & boil-dry protection tec.   4. Stay-cool ergonomic handle.  5. Fast boiling: 0.5L for just 2mins.
Item Weight 1.2 kg
",glass,grey,1.2kg,1.7L,18.5,23,30,lid;handle;cup;led
"Russell Hobbs Mode Kettle 21400 - Black
Stylish black kettle with stainless steel highlights
Easy pour spout
Push to open hinged lid
1.7 L capacity
360° base with integrated cord storage
Brand Russell Hobbs
Model Number 21400
Colour Black
Product Dimensions 16.5 x 23 x 25.5 cm; 1.18 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Auto Shutoff No
Energy Efficiency Class A
Noise Level 5 dB
Runtime 3 minutes
Item Weight 1.18 kg
","Russell Hobbs Mode Kettle 21400 - Black
Stylish black kettle with stainless steel highlights
Easy pour spout
Push to open hinged lid
1.7 L capacity
360° base with integrated cord storage
","Brand Russell Hobbs
Model Number 21400
Colour Black
Product Dimensions 16.5 x 23 x 25.5 cm; 1.18 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Auto Shutoff No
Energy Efficiency Class A
Noise Level 5 dB
Runtime 3 minutes
Item Weight 1.18 kg
",plastic,black,1.18kg,1.7L,16.5,23,25.5,lid
"Russell Hobbs 26050 Cordless Electric Kettle - Contemporary Honeycomb Design with Fast Boil and Boil Dry Protection, 1.7 Litre, 3000 W, White
Textured Design - With a honeycomb-textured finish on premium white plastic, this kettle brings style to your kitchen with every brew you make.
Rapid Boil - With internal 1/2/3 cup indicators, a speedy brew has never been easier. Simply fill your kettle up with the amount of water you need, and Boil One Cup in 43 Seconds*.
1.7 Litre Capacity - That’s why the Honeycomb Kettle has an impressive 1.7L Capacity. The perfect size to cater for all, this kettle makes sure your every boiling need is taken care of.
Boil Dry Protection - Designed to protect your kettle from over-boiling, Boil Dry Protection prevents your kettle from boiling if there is not enough water inside of it.
2 Year Manufactures Guarantee - Plus 1 extra year when you register the product online.
Brand Russell Hobbs
Model Number 26050
Colour White
Product Dimensions 16.1 x 21 x 22.8 cm; 1.1 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 240.00
Material Plastic
Special Features Water window with internal illumination, Boil dry protection, Rapid boil zone markers - Boils one cup in 43 seconds*, 360 base with cord storage, Perfect pour spout
Item Weight 1.1 kg
","Russell Hobbs 26050 Cordless Electric Kettle - Contemporary Honeycomb Design with Fast Boil and Boil Dry Protection, 1.7 Litre, 3000 W, White
Textured Design - With a honeycomb-textured finish on premium white plastic, this kettle brings style to your kitchen with every brew you make.
Rapid Boil - With internal 1/2/3 cup indicators, a speedy brew has never been easier. Simply fill your kettle up with the amount of water you need, and Boil One Cup in 43 Seconds*.
1.7 Litre Capacity - That’s why the Honeycomb Kettle has an impressive 1.7L Capacity. The perfect size to cater for all, this kettle makes sure your every boiling need is taken care of.
Boil Dry Protection - Designed to protect your kettle from over-boiling, Boil Dry Protection prevents your kettle from boiling if there is not enough water inside of it.
2 Year Manufactures Guarantee - Plus 1 extra year when you register the product online.
","Brand Russell Hobbs
Model Number 26050
Colour White
Product Dimensions 16.1 x 21 x 22.8 cm; 1.1 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Voltage 240.00
Material Plastic
Special Features Water window with internal illumination, Boil dry protection, Rapid boil zone markers - Boils one cup in 43 seconds*, 360 base with cord storage, Perfect pour spout
Item Weight 1.1 kg
",plastic,white,1.1kg,1.7L,16.1,21,22.8,cup
"Breville Impressions Electric Kettle, 1.7 Litre, 3 KW Fast Boil, Red [VKJ956]
Elegant ridged texture design with a high gloss finish and polished chrome details
3 KW concealed element for rapid boiling; 1.7 Litre capacity makes 6 to 8 cups
Rear water window makes accurate filling easy and illuminates on boil
Removable, cleanable limescale filter; concealed element for easy cleaning
360 Degree rotational base, lift off lid, non-slip feet and cord storage
Brand Breville
Model Number VKT006
Colour Red
Product Dimensions 16.2 x 20.7 x 25.5 cm; 1.13 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Auto Shutoff No
Special Features Concealed_Heating
Item Weight 1.14 kg
","Breville Impressions Electric Kettle, 1.7 Litre, 3 KW Fast Boil, Red [VKJ956]
Elegant ridged texture design with a high gloss finish and polished chrome details
3 KW concealed element for rapid boiling; 1.7 Litre capacity makes 6 to 8 cups
Rear water window makes accurate filling easy and illuminates on boil
Removable, cleanable limescale filter; concealed element for easy cleaning
360 Degree rotational base, lift off lid, non-slip feet and cord storage
","Brand Breville
Model Number VKT006
Colour Red
Product Dimensions 16.2 x 20.7 x 25.5 cm; 1.13 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Plastic
Auto Shutoff No
Special Features Concealed_Heating
Item Weight 1.14 kg
",plastic,red,1.14kg,1.7L,16.2,20.7,25.5,lid;cup;filter
"Russell Hobbs 21600-10 Illuminating Glass Kettle, Black, 1.7 Litre, 3000 Watt
1.7 Litre glass kettle with brushed stainless steel accents
Blue illumination on boil
Save up to 66 percent energy saving by boiling one cup (235 ml) vs 1 Litre
Concealed element and removable, washable filter
Includes code for 75 percent off a bottle of Russell Hobbs multipurpose descaler
Brand Russell Hobbs
Model Number 21600-10
Colour Black
Product Dimensions 15 x 24 x 23.5 cm; 1.2 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Glass
Auto Shutoff Yes
Energy Efficiency Class A++ to G
Noise Level 1 dB
Runtime 1 minute
Special Features Concealed_Heating
Item Weight 1.2 kg
","Russell Hobbs 21600-10 Illuminating Glass Kettle, Black, 1.7 Litre, 3000 Watt
1.7 Litre glass kettle with brushed stainless steel accents
Blue illumination on boil
Save up to 66 percent energy saving by boiling one cup (235 ml) vs 1 Litre
Concealed element and removable, washable filter
Includes code for 75 percent off a bottle of Russell Hobbs multipurpose descaler
","Brand Russell Hobbs
Model Number 21600-10
Colour Black
Product Dimensions 15 x 24 x 23.5 cm; 1.2 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Glass
Auto Shutoff Yes
Energy Efficiency Class A++ to G
Noise Level 1 dB
Runtime 1 minute
Special Features Concealed_Heating
Item Weight 1.2 kg
",glass,black,1.2kg,1.7L,15,24,23.5,cup;brush;filter
"Luxbe - Gooseneck Swan Pour-Over Coffee Teapot Kettle - 40oz 1200ml 4-5 Cups - Hand Drip-Less Adjustable Temperature Control - Stove-Top Heat-Resistant - Water Boiler with Thermometer - Beech Handle
Material Birch
Colour Steel
Brand Luxbe
★Perfect for any tea or coffee – as you know, different teas should be brewed with different temperatures, you can remind yourself which temperatures you should use in the description
★Keeps your beverages hot – four to five cups of your favorite drinks stay freshly brewed and give you full taste of infusion for a pretty long time, which you can control with thermometer on top
★Dripless – forget about spills, gooseneck narrow swan spout prevents these unfortunate situations
★Thermometer for precise temperature control – introduced in Fahrenheit and Celsius
★Stove top – perfect for boiling water on both electric and gas stoves
Brand Luxbe
Colour Steel
Package Dimensions 27.3 x 16.2 x 14.3 cm; 633 Grams
Material Birch
Item Weight 633 g
","Luxbe - Gooseneck Swan Pour-Over Coffee Teapot Kettle - 40oz 1200ml 4-5 Cups - Hand Drip-Less Adjustable Temperature Control - Stove-Top Heat-Resistant - Water Boiler with Thermometer - Beech Handle
★Perfect for any tea or coffee – as you know, different teas should be brewed with different temperatures, you can remind yourself which temperatures you should use in the description
★Keeps your beverages hot – four to five cups of your favorite drinks stay freshly brewed and give you full taste of infusion for a pretty long time, which you can control with thermometer on top
★Dripless – forget about spills, gooseneck narrow swan spout prevents these unfortunate situations
★Thermometer for precise temperature control – introduced in Fahrenheit and Celsius
★Stove top – perfect for boiling water on both electric and gas stoves
","Material Birch
Colour Steel
Brand Luxbe
Brand Luxbe
Colour Steel
Package Dimensions 27.3 x 16.2 x 14.3 cm; 633 Grams
Material Birch
Item Weight 633 g
",other,other,633g,1200ml;40oz,27.3,16.2,14.3,handle;cup
"HadinEEon Variable Temperature Electric Kettle, 2200W Electric Tea Kettle, 8 Big Cups 2.0L Glass Water Boiler With 4Hrs Keep Warm Function & Boil-Dry Protection, Cordless Tea Kettle Electric
6 Different Temperatures for Optimal Brewing. To bring out the best taste and quality of tea and coffee, HadinEEon Variable Temperature Electric Kettle offers six different Centigrade temperatures ( 70℃, 80℃, 85℃, 90℃, 95℃, 100℃) for optimal brewing. Precise temperature control guarantees the perfect brewing. Enjoy the optimal flavor from your tea or coffee with HadinEEon Variable Temperature Electric Kettle.
2200W Fast & Quiet Water Boiling. Real fast water heating. Utilizing the newest water circling heating technology, HadinEEon variable temp electric kettle can heat water faster and quieter than the most electric kettles on the market. Only takes about 5 minutes to boil 1.5L water. No more long time waiting. Enjoy the fresh tea or coffee with your family right now.
Water Stay Warm For 4 Hours. Once you activated the Keep Warm Function on the kettle, the electric tea kettle will keep the water staying in the selected temperature for 4 hours. Always ready for brewing the next cup of tea or coffee and without waiting to heat water again. No matter when lifting up the kettle, the water always stays warm or hot and ready for you to brew a new warm tea or hot coffee.
Safety Auto-Off & Boil-Dry Protection. Feel safe to leave the kettle alone. The HadinEEon Tea Kettle will automatically shut off once the water has reached the selected temperature. When the water is nearly dry-out, the glass tea kettle will protect against overheating and switch off automatically.
Beautiful see-through design. The see-through clead galss design allows you to watch the progress of the boiling water. You could spot any build up and see when it needs to be clean. The lid opens the entire way, allowing for a good cleaning possibilities.
Brand HadinEEon
Model Number GK2003CT
Colour Silver
Product Dimensions 21.59 x 17.78 x 26.67 cm; 1.47 Kilograms
Capacity 2 litres
Volume Capacity 2 litres
Power / Wattage 2200 watts
Voltage 120 Volts
Material Borosilicate Glass\304 Stainless Steel
Item Weight 1.47 kg
","HadinEEon Variable Temperature Electric Kettle, 2200W Electric Tea Kettle, 8 Big Cups 2.0L Glass Water Boiler With 4Hrs Keep Warm Function & Boil-Dry Protection, Cordless Tea Kettle Electric
6 Different Temperatures for Optimal Brewing. To bring out the best taste and quality of tea and coffee, HadinEEon Variable Temperature Electric Kettle offers six different Centigrade temperatures ( 70℃, 80℃, 85℃, 90℃, 95℃, 100℃) for optimal brewing. Precise temperature control guarantees the perfect brewing. Enjoy the optimal flavor from your tea or coffee with HadinEEon Variable Temperature Electric Kettle.
2200W Fast & Quiet Water Boiling. Real fast water heating. Utilizing the newest water circling heating technology, HadinEEon variable temp electric kettle can heat water faster and quieter than the most electric kettles on the market. Only takes about 5 minutes to boil 1.5L water. No more long time waiting. Enjoy the fresh tea or coffee with your family right now.
Water Stay Warm For 4 Hours. Once you activated the Keep Warm Function on the kettle, the electric tea kettle will keep the water staying in the selected temperature for 4 hours. Always ready for brewing the next cup of tea or coffee and without waiting to heat water again. No matter when lifting up the kettle, the water always stays warm or hot and ready for you to brew a new warm tea or hot coffee.
Safety Auto-Off & Boil-Dry Protection. Feel safe to leave the kettle alone. The HadinEEon Tea Kettle will automatically shut off once the water has reached the selected temperature. When the water is nearly dry-out, the glass tea kettle will protect against overheating and switch off automatically.
Beautiful see-through design. The see-through clead galss design allows you to watch the progress of the boiling water. You could spot any build up and see when it needs to be clean. The lid opens the entire way, allowing for a good cleaning possibilities.
","Brand HadinEEon
Model Number GK2003CT
Colour Silver
Product Dimensions 21.59 x 17.78 x 26.67 cm; 1.47 Kilograms
Capacity 2 litres
Volume Capacity 2 litres
Power / Wattage 2200 watts
Voltage 120 Volts
Material Borosilicate Glass\304 Stainless Steel
Item Weight 1.47 kg
",glass,silver,1.47kg,2L,21.59,17.78,26.67,lid;cup
"ANSIO Electric Kettle 2200W 1.7L Cordless, Glass Kettle with Auto Shut Off & Boil Dry Protection,Otter Controller
360° rotational, cordless glass electric kettle.
2200 Watts kettle with 1.7 litre capacity. Inbuilt thermostat and Otter controller to ensure precise temperature control while assuring safety. Equipped with LED light ring around the heating plate that lights up the kettle while boiling.
Auto shut-off to turn the kettle off automatically when the water is boiled & boil dry protection feature to avoid dry boiling when the water level is too low, to ensure safety and save power.
Removable and washable filter for ease of use. Automatic lid opening at the press of a button. Ideal mouth size for easy cleaning.
Contact us in case of queries
Brand ANSIO
Model Number ANSIO 1566
Colour Transparent
Package Dimensions 26.4 x 23 x 20 cm; 1.52 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Glass
Item Weight 1.52 kg
","ANSIO Electric Kettle 2200W 1.7L Cordless, Glass Kettle with Auto Shut Off & Boil Dry Protection,Otter Controller
360° rotational, cordless glass electric kettle.
2200 Watts kettle with 1.7 litre capacity. Inbuilt thermostat and Otter controller to ensure precise temperature control while assuring safety. Equipped with LED light ring around the heating plate that lights up the kettle while boiling.
Auto shut-off to turn the kettle off automatically when the water is boiled & boil dry protection feature to avoid dry boiling when the water level is too low, to ensure safety and save power.
Removable and washable filter for ease of use. Automatic lid opening at the press of a button. Ideal mouth size for easy cleaning.
Contact us in case of queries
","Brand ANSIO
Model Number ANSIO 1566
Colour Transparent
Package Dimensions 26.4 x 23 x 20 cm; 1.52 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 2200 watts
Material Glass
Item Weight 1.52 kg
",glass,other,1.52kg,1.7L,26.4,23,20,lid;filter;led
"Swan SK14610GRYN, Nordic Rapid Boil Jug Kettle, Wood Effect Handle, Soft Touch Housing and Matt Finish, 3kw, 1.7 Litre, Slate Grey
Rapid boil with the powerful 3000W element, you’ll have a hot cuppa in no time. With a generous 1.7 litre capacity It can quickly boil water to Make you and the rest of the family or your guests a nice hot drink. Ideal for domestic kitchens small and large, hotels, guest houses, offices and staffrooms. It also makes a lovely Gift for newlyweds, new homeowners or students moving into student accommodation.
The slick sophistication of the Swan Nordic range combines style and functionality to make the perfect modern kettle for the minimalist kitchen. Its stainless-steel matte finish body in a sleek slate Grey and wood effect handle is simple yet stylish, and Transports a taste of Scandinavia to anyone’s kitchen.
Safety is paramount when dealing with boiling water and the Swan Nordic kettle isn’t lacking in the Safety stakes. With an automatic switch off and dry boil protection safety features, it ensures the kettle will not overheat or boil with insufficient water and automatically stops when the water is fully boiled. The integrated spout allows for easy pouring with no spills and the cool-touch wooden effect handle ensures no heat travels to your hands when in use.
Built to last with a robust stainless-steel body, sturdy wooden-look handle and minimalist streamlined design. It even comes with an inbuilt removable filter to keep your water clear, which can be washed to keep your kettle running at optimum performance.
Cordless operation with a 360˚ rotative cordless base makes it easy to use and when you need to pop it back into place on the base, it’s hassle free when you’re in a hurry. Also comes with a 2-year warranty.
Removable/ washable scale filter
Brand Swan
Model Number SK14610GRYN
Colour Grey
Product Dimensions 22 x 16 x 25.5 cm; 1.72 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Removable / Washable scale filter, Blue On/Off switch with LED indicator, Rapid Boil, Automatic Switch off and Dry boil protection, Cordless, Streamline design with Intergrated spout
Item Weight 1.72 kg
","Swan SK14610GRYN, Nordic Rapid Boil Jug Kettle, Wood Effect Handle, Soft Touch Housing and Matt Finish, 3kw, 1.7 Litre, Slate Grey
Rapid boil with the powerful 3000W element, you’ll have a hot cuppa in no time. With a generous 1.7 litre capacity It can quickly boil water to Make you and the rest of the family or your guests a nice hot drink. Ideal for domestic kitchens small and large, hotels, guest houses, offices and staffrooms. It also makes a lovely Gift for newlyweds, new homeowners or students moving into student accommodation.
The slick sophistication of the Swan Nordic range combines style and functionality to make the perfect modern kettle for the minimalist kitchen. Its stainless-steel matte finish body in a sleek slate Grey and wood effect handle is simple yet stylish, and Transports a taste of Scandinavia to anyone’s kitchen.
Safety is paramount when dealing with boiling water and the Swan Nordic kettle isn’t lacking in the Safety stakes. With an automatic switch off and dry boil protection safety features, it ensures the kettle will not overheat or boil with insufficient water and automatically stops when the water is fully boiled. The integrated spout allows for easy pouring with no spills and the cool-touch wooden effect handle ensures no heat travels to your hands when in use.
Built to last with a robust stainless-steel body, sturdy wooden-look handle and minimalist streamlined design. It even comes with an inbuilt removable filter to keep your water clear, which can be washed to keep your kettle running at optimum performance.
Cordless operation with a 360˚ rotative cordless base makes it easy to use and when you need to pop it back into place on the base, it’s hassle free when you’re in a hurry. Also comes with a 2-year warranty.
Removable/ washable scale filter
","Brand Swan
Model Number SK14610GRYN
Colour Grey
Product Dimensions 22 x 16 x 25.5 cm; 1.72 Kilograms
Capacity 1.7 litres
Volume Capacity 1.7 litres
Power / Wattage 3000 watts
Material Stainless Steel
Special Features Removable / Washable scale filter, Blue On/Off switch with LED indicator, Rapid Boil, Automatic Switch off and Dry boil protection, Cordless, Streamline design with Intergrated spout
Item Weight 1.72 kg
",metal,grey,1.72kg,1.7L,22,16,25.5,handle;cup;filter;led
